Local Time,Real Energy Into the Load
2025-Aug-03 01:45:00.000,3858221
2025-Aug-03 02:00:00.000,3858241
2025-Aug-03 02:15:00.000,3858261
2025-Aug-03 02:30:00.000,3858280
2025-Aug-03 02:45:00.000,3858300
2025-Aug-03 03:00:00.000,3858319
2025-Aug-03 03:15:00.000,3858338
2025-Aug-03 03:30:00.000,3858357
2025-Aug-03 03:45:00.000,3858376
2025-Aug-03 04:00:00.000,3858395
2025-Aug-03 04:15:00.000,3858415
2025-Aug-03 04:30:00.000,3858435
2025-Aug-03 04:45:00.000,3858454
2025-Aug-03 05:00:00.000,3858473
2025-Aug-03 05:15:00.000,3858492
2025-Aug-03 05:30:00.000,3858511
2025-Aug-03 05:45:00.000,3858530
2025-Aug-03 06:00:00.000,3858549
2025-Aug-03 06:15:00.000,3858568
2025-Aug-03 06:30:00.000,3858587
2025-Aug-03 06:45:00.000,3858606
2025-Aug-03 07:00:00.000,3858625
2025-Aug-03 07:15:00.000,3858643
2025-Aug-03 07:30:00.000,3858656
2025-Aug-03 07:45:00.000,3858665
2025-Aug-03 08:00:00.000,3858672
2025-Aug-03 08:15:00.000,3858680
2025-Aug-03 08:30:00.000,3858690
2025-Aug-03 08:45:00.000,3858699
2025-Aug-03 09:00:00.000,3858707
2025-Aug-03 09:15:00.000,3858714
2025-Aug-03 09:30:00.000,3858722
2025-Aug-03 09:45:00.000,3858730
2025-Aug-03 10:00:00.000,3858738
2025-Aug-03 10:15:00.000,3858745
2025-Aug-03 10:30:00.000,3858753
2025-Aug-03 10:45:00.000,3858761
2025-Aug-03 11:00:00.000,3858769
2025-Aug-03 11:15:00.000,3858777
2025-Aug-03 11:30:00.000,3858785
2025-Aug-03 11:45:00.000,3858793
2025-Aug-03 12:00:00.000,3858803
2025-Aug-03 12:15:00.000,3858812
2025-Aug-03 12:30:00.000,3858821
2025-Aug-03 12:45:00.000,3858831
2025-Aug-03 13:00:00.000,3858840
2025-Aug-03 13:15:00.000,3858849
2025-Aug-03 13:30:00.000,3858858
2025-Aug-03 13:45:00.000,3858868
2025-Aug-03 14:00:00.000,3858877
2025-Aug-03 14:15:00.000,3858886
2025-Aug-03 14:30:00.000,3858896
2025-Aug-03 14:45:00.000,3858906
2025-Aug-03 15:00:00.000,3858916
2025-Aug-03 15:15:00.000,3858926
2025-Aug-03 15:30:00.000,3858936
2025-Aug-03 15:45:00.000,3858947
2025-Aug-03 16:00:00.000,3858957
2025-Aug-03 16:15:00.000,3858968
2025-Aug-03 16:30:00.000,3858979
2025-Aug-03 16:45:00.000,3858989
2025-Aug-03 17:00:00.000,3859000
2025-Aug-03 17:15:00.000,3859011
2025-Aug-03 17:30:00.000,3859022
2025-Aug-03 17:45:00.000,3859032
2025-Aug-03 18:00:00.000,3859042
2025-Aug-03 18:15:00.000,3859053
2025-Aug-03 18:30:00.000,3859064
2025-Aug-03 18:45:00.000,3859074
2025-Aug-03 19:00:00.000,3859085
2025-Aug-03 19:15:00.000,3859095
2025-Aug-03 19:30:00.000,3859105
2025-Aug-03 19:45:00.000,3859110
2025-Aug-03 20:00:00.000,3859119
2025-Aug-03 20:15:00.000,3859127
2025-Aug-03 20:30:00.000,3859135
2025-Aug-03 20:45:00.000,3859143
2025-Aug-03 21:00:00.000,3859151
2025-Aug-03 21:15:00.000,3859159
2025-Aug-03 21:30:00.000,3859167
2025-Aug-03 21:45:00.000,3859176
2025-Aug-03 22:00:00.000,3859184
2025-Aug-03 22:15:00.000,3859193
2025-Aug-03 22:30:00.000,3859201
2025-Aug-03 22:45:00.000,3859209
2025-Aug-03 23:00:00.000,3859218
2025-Aug-03 23:15:00.000,3859227
2025-Aug-03 23:30:00.000,3859235
2025-Aug-03 23:45:00.000,3859244
2025-Aug-04 00:00:00.000,3859252
2025-Aug-04 00:15:00.000,3859261
2025-Aug-04 00:30:00.000,3859270
2025-Aug-04 00:45:00.000,3859279
2025-Aug-04 01:00:00.000,3859287
2025-Aug-04 01:15:00.000,3859295
2025-Aug-04 01:30:00.000,3859304
2025-Aug-04 01:45:00.000,3859313
2025-Aug-04 02:00:00.000,3859323
2025-Aug-04 02:15:00.000,3859332
2025-Aug-04 02:30:00.000,3859341
2025-Aug-04 02:45:00.000,3859350
2025-Aug-04 03:00:00.000,3859358
2025-Aug-04 03:15:00.000,3859367
2025-Aug-04 03:30:00.000,3859376
2025-Aug-04 03:45:00.000,3859385
2025-Aug-04 04:00:00.000,3859395
2025-Aug-04 04:15:00.000,3859404
2025-Aug-04 04:30:00.000,3859413
2025-Aug-04 04:45:00.000,3859421
2025-Aug-04 05:00:00.000,3859430
2025-Aug-04 05:15:00.000,3859439
2025-Aug-04 05:30:00.000,3859448
2025-Aug-04 05:45:00.000,3859457
2025-Aug-04 06:00:00.000,3859466
